Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	0.163763	1.005509	95.588000	74.830000	
0.010000	0.135840	1.021184	96.500000	75.020000	
0.010000	0.119344	1.035145	96.916000	75.130000	
0.010000	0.105569	1.054403	97.434000	75.060000	
0.010000	0.094890	1.078020	97.688000	74.990000	
0.010000	0.087729	1.084698	97.896000	74.910000	
0.010000	0.080009	1.105632	98.158000	74.860000	
0.010000	0.072955	1.111058	98.430000	75.050000	
0.010000	0.066526	1.117454	98.518000	75.210000	
0.010000	0.064867	1.130467	98.536000	74.770000	
0.010000	0.060400	1.137363	98.748000	74.890000	
0.010000	0.057287	1.154901	98.772000	74.830000	
0.010000	0.052937	1.164111	98.890000	74.780000	
0.010000	0.051010	1.175473	98.998000	74.790000	
0.010000	0.049083	1.182765	99.002000	74.720000	
0.010000	0.046093	1.203753	99.096000	74.700000	
0.010000	0.043449	1.208924	99.178000	74.520000	
0.010000	0.041728	1.212674	99.230000	74.580000	
0.010000	0.040347	1.216173	99.274000	74.890000	
0.010000	0.038390	1.222713	99.284000	74.800000	
0.010000	0.036845	1.224677	99.290000	74.820000	
0.010000	0.033824	1.232399	99.462000	74.680000	
0.010000	0.032813	1.245746	99.448000	74.780000	
0.010000	0.031847	1.253268	99.516000	74.780000	
0.010000	0.031829	1.257471	99.450000	74.700000	
0.010000	0.031097	1.255676	99.530000	74.630000	
0.010000	0.030055	1.265138	99.490000	74.220000	
0.010000	0.029492	1.260540	99.514000	74.490000	
0.010000	0.027379	1.272396	99.596000	74.330000	
0.010000	0.026233	1.276398	99.620000	74.280000	
0.010000	0.025532	1.275470	99.608000	74.760000	
0.010000	0.025297	1.279626	99.624000	74.650000	
0.010000	0.024616	1.294294	99.630000	74.580000	
0.010000	0.023954	1.287620	99.704000	74.940000	
0.010000	0.024801	1.295776	99.590000	74.170000	
0.010000	0.023106	1.282124	99.678000	74.810000	
0.010000	0.022116	1.287095	99.680000	74.770000	
0.010000	0.021337	1.305211	99.740000	74.610000	
0.010000	0.020780	1.306889	99.724000	74.640000	
0.010000	0.021179	1.310033	99.704000	74.420000	
0.001000	0.019600	1.296314	99.734000	74.580000	
0.001000	0.017820	1.296303	99.812000	74.580000	
0.001000	0.017827	1.301487	99.788000	74.610000	
0.001000	0.017512	1.295148	99.808000	74.570000	
0.001000	0.017367	1.288708	99.816000	74.590000	
0.001000	0.017017	1.297393	99.802000	74.490000	
0.001000	0.016254	1.294769	99.852000	74.660000	
0.001000	0.016911	1.299705	99.800000	74.670000	
0.001000	0.016869	1.303700	99.804000	74.510000	
0.001000	0.016778	1.291765	99.816000	74.550000	
0.001000	0.016532	1.295256	99.808000	74.510000	
0.001000	0.016165	1.300043	99.844000	74.600000	
0.001000	0.015798	1.297362	99.848000	74.590000	
0.001000	0.015930	1.293178	99.844000	74.600000	
0.001000	0.015623	1.296250	99.870000	74.560000	
0.001000	0.015332	1.294016	99.832000	74.530000	
0.001000	0.015737	1.299403	99.824000	74.420000	
0.001000	0.015535	1.293769	99.856000	74.590000	
0.001000	0.015890	1.306037	99.852000	74.570000	
0.001000	0.015770	1.302737	99.828000	74.510000	
0.001000	0.015844	1.298119	99.828000	74.470000	
0.001000	0.015599	1.299432	99.878000	74.570000	
0.001000	0.015290	1.300145	99.852000	74.420000	
0.001000	0.015317	1.296788	99.838000	74.630000	
0.001000	0.015422	1.297891	99.866000	74.550000	
0.001000	0.015832	1.300529	99.846000	74.510000	
0.001000	0.015693	1.296538	99.816000	74.590000	
0.001000	0.015445	1.302440	99.848000	74.380000	
0.001000	0.015005	1.297357	99.848000	74.500000	
0.001000	0.014921	1.299490	99.844000	74.510000	
0.001000	0.014493	1.297679	99.876000	74.600000	
0.001000	0.014672	1.299615	99.846000	74.390000	
0.001000	0.014977	1.301463	99.864000	74.540000	
0.001000	0.014357	1.297275	99.874000	74.550000	
0.001000	0.014383	1.303374	99.866000	74.590000	
0.001000	0.014554	1.293939	99.850000	74.480000	
0.001000	0.014202	1.295816	99.890000	74.710000	
0.001000	0.014724	1.295837	99.852000	74.480000	
0.001000	0.014471	1.299634	99.866000	74.670000	
0.001000	0.014482	1.304597	99.864000	74.520000	
0.001000	0.014598	1.309214	99.852000	74.470000	
0.001000	0.014037	1.305450	99.902000	74.430000	
